label,rule,tmax,window_days,alpha,shared_base_threshold,shared_slope,shared_high_success_pct,shared_low_all_success_pct,shared_combined_success_pct,shared_min_success_pct,shared_gap_pct,n_cells_total,n_cells_at_max_min,pct_cells_at_max_min,n_cells_at_max_sum,n_cells_sum_ge_130,pct_cells_sum_ge_130,n_cells_sum_ge_120,pct_cells_sum_ge_120,n_cells_both_ge_60,pct_cells_both_ge_60,n_cells_min_ge_50,pct_cells_min_ge_50,high_individual_best_pct,high_individual_best_base,high_individual_best_slope,low_all_individual_best_pct,low_all_individual_best_base,low_all_individual_best_slope,high_fallback_rate_pct,low_all_fallback_rate_pct,high_median_transient,low_all_median_transient,n_cells_sum_ge_100,pct_cells_sum_ge_100,n_cells_sum_ge_105,pct_cells_sum_ge_105,n_cells_sum_ge_110,pct_cells_sum_ge_110,n_cells_sum_ge_115,pct_cells_sum_ge_115,n_cells_within_5_of_max_sum,pct_cells_within_5_of_max_sum,n_cells_within_10_of_max_sum,pct_cells_within_10_of_max_sum,n_cells_both_ge_50,n_cells_both_ge_55,n_cells_sum_ge_110_gap_le_10,n_cells_sum_ge_110_min_ge_50
global_good_area,baseline_5day,30,25,0.05,0.2,0.00825,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.65,0.0015,43.47826086956522,0.55,0.00375,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,10,2.506265664160401,0,0,0,0
global_good_area,baseline_5day,30,25,0.1,0.15,0.00675,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.0015,39.130434782608695,0.15,0.00675,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,11,2.756892230576441,19,4.761904761904762,0,0,0,0
global_good_area,baseline_5day,30,25,0.15,0.4,0.003,60.0,26.08695652173913,86.08695652173913,26.08695652173913,33.913043478260875,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.4,0.003,39.130434782608695,0.6,0.0015,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,5,1.2531328320802004,0,0,0,0
global_good_area,baseline_5day,30,25,0.2,0.1,0.006,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087,399,5,1.2531328320802004,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.1,0.006,34.78260869565217,0.6,0.0,40.0,69.56521739130434,21.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,87,21.804511278195488,0,0,0,0
global_good_area,baseline_5day,45,10,0.01,0.45,0.006,70.0,39.130434782608695,109.13043478260869,39.130434782608695,30.869565217391305,399,3,0.7518796992481203,2,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,70.0,0.65,0.0015,56.52173913043478,0.75,0.003,20.0,56.52173913043478,21.5,45.0,10,2.506265664160401,2,0.5012531328320802,0,0.0,0,0.0,3,0.7518796992481203,15,3.7593984962406015,3,0,0,0
global_good_area,baseline_5day,45,10,0.02,0.7,0.003,60.0,60.869565217391305,120.86956521739131,60.0,0.8695652173913047,399,1,0.2506265664160401,1,0,0.0,1,0.2506265664160401,1,0.2506265664160401,2,0.5012531328320802,70.0,0.65,0.0015,60.869565217391305,0.7,0.003,20.0,56.52173913043478,21.5,45.0,30,7.518796992481203,11,2.756892230576441,8,2.0050125313283207,2,0.5012531328320802,2,0.5012531328320802,8,2.0050125313283207,2,2,2,2
global_good_area,baseline_5day,45,10,0.05,0.15,0.009,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,8,2.0050125313283207,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.45,0.003,52.17391304347826,0.35,0.00675,20.0,56.52173913043478,21.5,45.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,21,5.263157894736842,0,0,0,0
global_good_area,baseline_5day,45,10,0.1,0.1,0.00825,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.0,43.47826086956522,0.35,0.00525,20.0,56.52173913043478,21.5,45.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,11,2.756892230576441,0,0,0,0
global_good_area,baseline_5day,45,10,0.15,0.2,0.00525,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,1,0.2506265664160401,4,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.05,0.006,47.82608695652174,0.1,0.00975,20.0,56.52173913043478,21.5,45.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,16,4.010025062656641,0,0,0,0
global_good_area,baseline_5day,45,10,0.2,0.05,0.006,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,3,0.7518796992481203,1,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.05,0.006,39.130434782608695,0.3,0.00525,20.0,56.52173913043478,21.5,45.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,2,0.5012531328320802,0,0,0,0
